2026-06-15 10:11:18 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:22 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:26 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:30 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:34 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:38 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:11:38 [WARNING] CONEXAO_ENCERRADA pelo servidor
2026-06-22 09:27:36 [INFO] CONECTADO | localhost:5000
2026-06-22 09:27:36 [INFO] LOGIN_OK | usuario=admin
2026-06-22 09:27:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-22 09:27:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-22 09:27:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-22 09:27:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-22 09:27:52 [INFO] CONECTADO | localhost:5000
2026-06-22 09:27:53 [INFO] LOGIN_OK | usuario=carlos
2026-06-22 09:27:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:27:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:27:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:27:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:55 [INFO] RECEBIDO | [carlos]: Olá pessoal!
2026-06-22 09:28:55 [INFO] MSG_ENVIADA | Olá pessoal!
2026-06-22 09:28:55 [INFO] RECEBIDO | [carlos]: Olá pessoal!
2026-06-22 09:28:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:28:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:29:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:29:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:29:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
2026-06-22 09:29:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,carlos
